value1,temperature,humidity,pressure,wind_speed
49.7,14.8,50.0,1010.0,3.0
49.9,14.9,50.5,1010.0,3.0
50.0,15.0,51.0,1010.0,3.0
50.3,14.9,51.5,1010.0,3.0
49.7,15.0,52.0,1010.0,3.0
50.5,14.9,52.5,1010.0,3.0
49.9,15.1,53.0,1010.0,3.0
50.1,15.2,53.5,1010.0,3.0
50.2,15.2,54.0,1010.0,3.0
49.9,15.2,54.5,1010.0,3.0
49.7,15.0,55.0,1010.0,3.0
50.3,15.2,55.5,1010.0,3.0
49.5,15.1,56.0,1010.0,3.0
49.8,14.9,56.5,1010.0,3.0
50.2,15.2,57.0,1010.0,3.0
50.3,15.0,57.5,1010.0,3.0
50.4,14.9,58.0,1010.0,3.0
49.7,15.0,58.5,1010.0,3.0
50.5,14.9,59.0,1010.0,3.0
50.1,15.0,59.5,1010.0,3.0
50.0,15.2,60.0,1010.0,3.0
49.6,14.9,60.5,1010.0,3.0
49.8,15.2,61.0,1010.0,3.0
50.0,14.8,61.5,1010.0,3.0
50.1,15.0,62.0,1010.0,3.0
50.1,20.0,62.5,1010.0,3.0
49.6,20.2,63.0,1010.0,3.0
50.3,20.0,63.5,1010.0,3.0
49.9,19.9,64.0,1010.0,3.0
50.1,20.1,64.5,1010.0,3.0
50.3,19.9,65.0,1010.0,8.0
50.4,19.9,65.5,1010.0,8.0
49.6,20.0,66.0,1010.0,8.0
50.3,19.8,66.5,1010.0,8.0
50.0,20.0,67.0,1010.0,8.0
50.0,20.1,67.5,1010.0,8.0
50.4,19.9,68.0,1010.0,8.0
50.3,20.2,68.5,1010.0,8.0
50.4,20.2,69.0,1010.0,8.0
49.9,19.8,69.5,1010.0,8.0
49.7,20.2,50.0,1010.0,8.0
49.7,20.0,50.5,1010.0,8.0
49.9,20.0,51.0,1010.0,8.0
49.7,20.2,51.5,1010.0,8.0
49.8,20.0,52.0,1010.0,8.0
49.9,20.0,52.5,1010.0,8.0
49.5,19.8,53.0,1010.0,8.0
49.5,19.9,53.5,1010.0,8.0
50.5,19.9,54.0,1010.0,8.0
49.6,19.8,54.5,1010.0,8.0
79.7,25.1,55.0,1012.0,8.0
79.8,25.1,55.5,1012.0,8.0
80.2,24.8,56.0,1012.0,8.0
79.6,25.0,56.5,1012.0,8.0
80.1,24.9,57.0,1012.0,8.0
79.6,24.9,57.5,1012.0,8.0
79.9,25.2,58.0,1012.0,8.0
80.4,24.9,58.5,1012.0,8.0
79.7,25.2,59.0,1012.0,8.0
