value1,sensor1,sensor2,sensor3,sensor4
100.1,90.0,180.0,70.0,230.0
102.0,89.9,180.0,70.0,230.0
103.7,90.0,180.0,70.0,230.0
106.0,90.1,180.0,70.0,230.0
108.0,89.8,180.0,70.0,230.0
110.1,89.8,180.0,70.0,230.0
111.9,90.2,180.0,70.0,230.0
114.2,89.9,180.0,70.0,230.0
115.9,90.1,180.0,70.0,230.0
118.2,90.1,180.0,70.0,230.0
120.0,90.1,180.0,70.0,230.0
122.0,89.8,180.0,70.0,230.0
123.8,90.1,180.0,70.0,230.0
125.7,90.1,180.0,70.0,230.0
127.9,90.0,180.0,70.0,230.0
129.9,90.0,180.0,70.0,230.0
132.0,90.1,180.0,70.0,230.0
134.1,90.0,180.0,70.0,230.0
136.0,90.1,180.0,70.0,230.0
137.9,90.2,180.0,70.0,230.0
140.0,90.1,180.0,70.0,230.0
141.8,90.1,180.0,70.0,230.0
144.0,90.0,180.0,70.0,230.0
145.8,90.0,180.0,70.0,230.0
147.8,90.1,180.0,70.0,230.0
149.9,89.9,180.0,70.0,230.0
151.9,89.9,180.0,70.0,230.0
154.1,90.0,180.0,70.0,230.0
156.0,90.1,180.0,70.0,230.0
158.2,90.0,180.0,70.0,230.0
159.9,90.0,190.0,70.0,230.0
161.7,90.1,190.0,70.0,230.0
163.7,90.0,190.0,70.0,230.0
166.0,90.1,190.0,70.0,230.0
168.2,90.0,190.0,70.0,230.0
170.2,90.0,190.0,95.0,230.0
172.2,90.0,190.0,95.0,230.0
173.7,90.0,190.0,95.0,230.0
176.0,89.9,190.0,95.0,230.0
178.1,90.0,190.0,95.0,230.0
180.2,110.2,190.0,95.0,235.0
178.0,109.9,190.0,95.0,235.0
176.1,110.2,190.0,95.0,235.0
174.2,109.9,190.0,95.0,235.0
172.0,109.9,190.0,95.0,235.0
169.8,109.9,190.0,95.0,235.0
167.9,109.9,190.0,95.0,235.0
166.2,110.1,190.0,95.0,235.0
164.2,110.1,190.0,95.0,235.0
162.2,110.1,190.0,95.0,235.0
160.0,110.1,190.0,95.0,235.0
158.3,109.9,190.0,95.0,235.0
155.8,110.1,190.0,95.0,235.0
153.8,109.8,190.0,95.0,235.0
151.8,110.1,190.0,95.0,235.0
149.7,110.0,190.0,95.0,235.0
148.0,109.9,190.0,95.0,235.0
145.7,109.9,190.0,95.0,235.0
144.0,110.0,190.0,95.0,235.0
141.9,110.1,190.0,95.0,235.0
139.8,109.8,200.0,95.0,235.0
138.2,110.0,200.0,95.0,235.0
136.2,110.2,200.0,95.0,235.0
133.9,110.0,200.0,95.0,235.0
131.7,110.1,200.0,95.0,235.0
130.0,109.9,200.0,95.0,235.0
